C2^2xD7	56,12
C7xQ8	56,10
C2xDic7	56,6
C57	57,2
C19:C3	57,1
C58	58,2
D29	58,1
C59	59,1
C60	60,4
A5	60,5
D30	60,12
Dic15	60,3
C3:F5	60,7
C2xC30	60,13
S3xD5	60,8
C3xF5	60,6
C5xA4	60,9
C6xD5	60,10
S3xC10	60,11
C5xDic3	60,1
C3xDic5	60,2
